dispnum,ccode1,ccode2,year,midongoing,midonset,sidea1,sidea2,revstate1,revstate2,revtype11,revtype12,revtype21,revtype22,fatality1,fatality2,fatalpre1,fatalpre2,hiact1,hiact2,hostlev1,hostlev2,orig1,orig2,hiact,hostlev,mindur,maxdur,outcome,settle,fatality,fatalpre,stmon,endmon,recip,numa,numb,ongo2010,version
2,2,200,1902,1,1,1,0,1,1,1,1,-9,-9,0,0,0,0,7,0,3,1,1,1,7,3,178,208,6,1,0,0,7,1,0,1,1,0,gml-2.1.1
2,2,200,1903,1,0,1,0,1,1,1,1,-9,-9,0,0,0,0,7,0,3,1,1,1,7,3,178,208,6,1,0,0,7,1,0,1,1,0,gml-2.1.1
2,200,2,1902,1,1,0,1,1,1,1,1,-9,-9,0,0,0,0,0,7,1,3,1,1,7,3,178,208,6,1,0,0,7,1,0,1,1,0,gml-2.1.1
2,200,2,1903,1,0,0,1,1,1,1,1,-9,-9,0,0,0,0,0,7,1,3,1,1,7,3,178,208,6,1,0,0,7,1,0,1,1,0,gml-2.1.1
3,300,345,1913,1,1,1,0,1,0,2,0,-9,-9,0,0,0,0,10,0,3,1,1,1,10,3,177,177,4,3,0,0,5,10,0,1,1,0,gml-2.1.1
3,345,300,1913,1,1,0,1,0,1,0,2,-9,-9,0,0,0,0,0,10,1,3,1,1,10,3,177,177,4,3,0,0,5,10,0,1,1,0,gml-2.1.1
4,200,339,1946,1,1,0,1,0,0,0,0,-9,-9,2,0,-9,0,7,16,3,4,1,1,16,4,183,183,6,1,2,-9,5,11,1,1,1,0,gml-2.1.1
4,339,200,1946,1,1,1,0,0,0,0,0,-9,-9,0,2,0,-9,16,7,4,3,1,1,16,4,183,183,6,1,2,-9,5,11,1,1,1,0,gml-2.1.1
7,200,651,1951,1,1,1,0,0,1,0,2,-9,-9,1,2,-9,-9,17,17,4,4,1,1,17,4,105,105,1,3,2,-9,10,1,1,1,1,0,gml-2.1.1
7,200,651,1952,1,0,1,0,0,1,0,2,-9,-9,1,2,-9,-9,17,17,4,4,1,1,17,4,105,105,1,3,2,-9,10,1,1,1,1,0,gml-2.1.1
7,651,200,1951,1,1,0,1,1,0,2,0,-9,-9,2,1,-9,-9,17,17,4,4,1,1,17,4,105,105,1,3,2,-9,10,1,1,1,1,0,gml-2.1.1
7,651,200,1952,1,0,0,1,1,0,2,0,-9,-9,2,1,-9,-9,17,17,4,4,1,1,17,4,105,105,1,3,2,-9,10,1,1,1,1,0,gml-2.1.1
8,200,630,1856,1,1,1,0,1,0,2,0,-9,-9,6,6,-9,-9,20,20,5,5,1,1,20,5,237,237,1,2,6,-9,7,3,1,1,1,0,gml-2.1.1
8,200,630,1857,1,0,1,0,1,0,2,0,-9,-9,6,6,-9,-9,20,20,5,5,1,1,20,5,237,237,1,2,6,-9,7,3,1,1,1,0,gml-2.1.1
8,630,200,1856,1,1,0,1,0,1,0,2,-9,-9,6,6,-9,-9,20,20,5,5,1,1,20,5,237,237,1,2,6,-9,7,3,1,1,1,0,gml-2.1.1
8,630,200,1857,1,0,0,1,0,1,0,2,-9,-9,6,6,-9,-9,20,20,5,5,1,1,20,5,237,237,1,2,6,-9,7,3,1,1,1,0,gml-2.1.1
9,200,235,1889,1,1,1,0,1,0,1,0,-9,-9,0,0,0,0,7,0,3,1,1,1,7,3,13,13,4,2,0,0,12,1,0,1,1,0,gml-2.1.1
9,200,235,1890,1,0,1,0,1,0,1,0,-9,-9,0,0,0,0,7,0,3,1,1,1,7,3,13,13,4,2,0,0,12,1,0,1,1,0,gml-2.1.1
