dispnum,ccode,styear,stmon,stday,endyear,endmon,endday,obsid_start,obsid_end,sidea,hiact,orig,n_ccodes,bilat,init
7,200,1951,10,13,1952,1,25,UKG-1945,UKG-1951,1,17,1,2,1,
7,651,1951,10,13,1952,1,25,EGY-1936,EGY-1936,0,17,1,2,1,
8,630,1856,7,11,1857,3,4,IRN-1848,IRN-1848,0,20,1,2,1,
8,200,1856,7,11,1857,3,4,,,1,20,1,2,1,
12,365,1938,9,16,1938,9,30,RUS-1923,RUS-1923,0,7,0,6,0,
12,211,1938,9,7,1938,9,30,BEL-1938,BEL-1938,0,7,0,6,0,
12,200,1938,8,26,1938,9,30,UKG-1937,UKG-1937,0,7,0,6,0,
12,220,1938,9,7,1938,9,30,FRN-1938-2,FRN-1938-2,0,10,0,6,0,
12,255,1938,3,11,1938,9,30,GMY-1933,GMY-1933,1,11,1,6,0,1
12,315,1938,3,11,1938,9,30,CZE-1935,CZE-1935,0,10,1,6,0,0
19,337,1848,3,1,1848,8,9,,,0,20,0,4,0,
19,332,1848,3,1,1848,8,9,,,0,20,0,4,0,
19,325,1848,1,15,1849,8,6,,,0,20,1,4,0,
19,300,1848,1,15,1849,8,6,,AUH-1848,1,20,1,4,0,
25,200,1831,10,29,1831,10,29,,,0,7,0,4,0,
25,210,1831,8,2,1833,5,21,,,1,17,1,4,0,
25,211,1831,8,2,1833,5,21,,,0,17,1,4,0,
25,220,1831,8,10,1833,5,21,,,0,16,0,4,0,
27,315,1961,10,17,1961,10,28,CZE-1957,CZE-1957,0,7,0,8,0,
27,290,1961,10,17,1961,10,28,POL-1956-2,POL-1956-2,0,7,0,8,0,
27,200,1961,8,23,1961,10,28,UKG-1957,UKG-1957,1,7,0,8,0,
27,220,1961,8,23,1961,10,28,FRN-1958-2,FRN-1958-2,1,7,0,8,0,
27,2,1961,7,15,1961,10,15,USA-1961,USA-1961,1,10,1,8,0,1
27,265,1961,7,15,1961,10,15,GDR-1950,GDR-1950,0,17,1,8,0,
27,365,1961,7,15,1961,10,15,RUS-1953-2,RUS-1953-2,0,16,1,8,0,0
27,260,1961,8,13,1961,10,28,GFR-1949,GFR-1949,1,17,0,8,0,
28,220,1961,7,17,1961,9,29,FRN-1958-2,FRN-1958-2,0,17,1,2,1,
28,616,1961,7,17,1961,9,29,TUN-1957,TUN-1957,1,17,1,2,1,
31,300,1900,5,30,1901,1,16,AUH-1848,AUH-1848,1,16,1,9,0,1
31,325,1900,5,30,1901,1,16,ITA-1898,ITA-1900,1,16,1,9,0,1
31,255,1900,5,30,1901,1,16,GMY-1888-2,GMY-1888-2,1,16,1,9,0,1
31,2,1900,5,30,1901,1,16,USA-1897,USA-1897,1,20,1,9,0,
31,200,1900,5,30,1901,1,16,UKG-1895,UKG-1895,1,20,1,9,0,
31,220,1900,5,30,1901,1,16,FRN-1899,FRN-1899,1,20,1,9,0,
31,365,1900,5,30,1901,1,16,RUS-1894,RUS-1894,1,20,1,9,0,
31,740,1900,5,30,1901,1,16,JPN-1898-3,JPN-1900,1,20,1,9,0,
31,710,1900,5,30,1901,1,16,CHN-1861,CHN-1861,0,20,1,9,0,
40,740,1928,4,20,1929,3,28,JPN-1927,JPN-1927,1,17,1,2,1,
40,710,1928,4,20,1929,3,28,CHN-1926,CHN-1928,0,17,1,2,1,
41,365,1929,5,27,1929,12,22,RUS-1923,RUS-1923,0,20,1,2,1,
41,710,1929,5,27,1929,12,22,CHN-1928,CHN-1928,1,20,1,2,1,
50,365,1954,8,4,1954,8,8,RUS-1953-2,RUS-1953-2,0,7,0,4,0,
50,2,1953,2,9,1956,2,9,USA-1953,USA-1953,1,16,1,4,0,1
50,710,1953,2,9,1957,6,12,CHN-1949,CHN-1949,0,20,1,4,0,
50,713,1953,2,11,1957,2,6,TAW-1950,TAW-1950,1,20,0,4,0,
51,920,1950,6,29,1953,7,27,NEW-1949,NEW-1949,0,20,0,18,0,
51,840,1950,9,16,1953,7,27,PHI-1948,PHI-1948,0,20,0,18,0,
51,210,1951,1,20,1953,7,27,NTH-1948,NTH-1948,0,20,0,18,0,
51,350,1951,1,20,1953,7,27,GRC-1950-4,GRC-1952-2,0,20,0,18,0,
