dispnum,ccode,styear,stmon,stday,endyear,endmon,endday,obsid_start,obsid_end,dummy_stday,dummy_endday,sidea,hiact,orig
22,367,1940,6,15,1940,6,17,LAT-1934,,15,17,0,0,1
69,42,1914,3,25,1916,11,29,DOM-1913,,25,29,0,0,1
86,600,1907,3,25,1908,4,-9,MOR-1894,,25,30,0,0,1
88,267,1870,7,-9,1870,11,22,,,1,22,0,20,0
88,220,1870,7,6,1871,2,26,,,6,26,1,20,1
88,271,1870,7,17,1870,11,22,,,17,22,0,20,0
91,220,1887,5,-9,1887,5,22,FRN-1886-2,,1,22,1,4,1
100,41,1914,12,13,1915,9,16,HAI-1914-2,,13,16,0,0,1
108,339,1939,3,25,1939,4,8,ALB-1925,,25,8,0,17,1
111,530,1934,11,22,1936,5,9,ETH-1930,,22,9,1,20,1
128,200,1905,11,15,1905,12,5,UKG-1902,,15,5,1,14,1
136,70,1913,7,15,1914,11,23,MEX-1913,,15,23,0,17,1
197,20,1920,1,1,1920,4,1,,CAN-1911,1,1,1,20,0
220,220,1870,7,25,1870,10,5,,,25,5,1,7,1
220,200,1870,8,22,1870,10,5,,,22,5,1,7,0
247,220,1905,1,-9,1905,1,20,FRN-1902,,1,20,1,7,1
256,200,1873,11,1,1873,12,18,,,1,18,0,7,0
256,230,1873,10,31,1873,12,18,,,31,18,1,15,1
257,211,1914,8,2,1918,11,11,,BEL-1917,2,10,0,20,0
257,345,1914,7,23,1918,11,11,SER-1914,,23,11,0,20,1
258,360,1944,8,24,1945,5,7,RUM-1944,,24,7,1,20,0
258,710,1941,12,7,1945,8,14,CHN-1940,,7,14,1,20,0
258,530,1941,1,24,1941,7,3,,ETH-1941,24,3,1,20,0
258,290,1939,3,25,1939,9,27,POL-1935,,25,27,1,20,1
258,385,1940,4,9,1940,6,9,NOR-1935,,8,9,1,20,0
397,345,1914,10,8,1915,10,16,SER-1914,,8,16,0,0,1
505,366,1940,6,10,1940,6,17,EST-1933-2,,10,17,0,0,1
607,652,1957,4,13,1958,4,13,SYR-1955,,13,13,1,17,1
611,817,1964,5,25,1975,4,25,RVN-1964-1,,25,25,0,20,1
634,710,1949,9,29,1950,1,24,,CHN-1949,29,24,1,15,1
1083,615,1962,7,2,1962,10,9,,ALG-1962-2,2,9,0,17,1
1086,600,1909,5,9,1910,3,23,,,9,23,0,20,1
1087,600,1911,5,23,1911,12,30,,,23,30,0,0,1
1225,811,1953,11,-9,1954,5,-9,,CAM-1953,1,31,0,0,1
1234,366,1921,1,5,1921,6,12,,EST-1921,5,12,0,0,0
1262,339,1918,9,15,1919,3,15,,ALB-1918,15,15,0,0,1
1262,345,1918,9,15,1919,3,15,,YUG-1918,15,15,1,14,1
1263,345,1918,11,6,1918,11,13,,,6,13,1,14,1
1272,290,1918,11,13,1920,11,29,,POL-1918-2,13,29,1,17,1
1272,368,1918,11,13,1920,11,29,,LIT-1920,13,29,0,17,1
1279,350,1963,12,25,1964,8,10,,GRC-1964,25,10,0,16,1
1441,540,1975,8,22,1988,8,22,,ANG-1979,22,22,0,20,1
1497,210,1870,6,-9,1870,8,8,,,1,8,0,7,1
1503,135,1872,8,-9,1872,8,-9,,,1,31,1,7,1
1508,160,1873,4,-9,1873,11,25,,,1,25,0,7,1
1526,160,1874,3,24,1874,3,24,,,24,24,0,0,1
1527,160,1872,3,22,1872,11,19,,,22,19,0,10,1
1632,41,1872,6,15,1872,6,16,,,15,16,0,0,1
1661,210,1914,10,5,1918,8,29,NTH-1913,,5,29,0,1,1
1668,710,1922,11,-9,1923,9,29,CHN-1922,,1,29,0,0,1
1685,290,1939,9,14,1939,9,21,POL-1935,,14,21,0,17,1
1723,375,1919,5,25,1919,7,-9,FIN-1918,,25,31,1,17,1
1775,70,1915,6,2,1915,7,30,,,2,30,0,8,1
1790,310,1944,12,30,1944,12,30,,,30,30,1,18,1
2006,713,1949,9,29,1950,2,27,,TAW-1949,29,27,1,16,1
2007,713,1949,10,18,1949,11,16,,,18,16,1,16,1
